delete,ln_pop_den,pct_65_over,pct_age_18_29,pct_bach,pct_black,pct_fb,pct_hisp,pct_uninsured,totalvotes,id,Intercept,X,Y,se0,b0,sepct_black,bpct_black,sepct_hisp,bpct_hisp,sepct_65_over,bpct_65_over,sepct_age_18_29,bpct_age_18_29,sepct_fb,bpct_fb,sepct_uninsured,bpct_uninsured,sepct_bach,bpct_bach,seln_pop_den,bln_pop_den
3000,-0.352250694,0.666253815,-0.867092407,-0.783470118,-0.239042686,-0.250148734,-0.56568661,-0.998095838,-0.294624991,54031,1,-0.078856852,0.039007458,0.111966279,-0.296613899,0.085651342,0.215700744,0.250951283,-0.638068301,0.059173474,0.003914882,0.038474033,-0.135404537,0.126539242,0.405670657,0.029454826,-0.015933318,0.05495248,0.086586806,0.071699634,0.211631162
3001,0.761085408,0.039870057,-0.346918283,0.140747951,-0.514732601,-0.674506782,-0.558480967,-0.757335978,-0.133334205,54033,1,-0.080380115,0.039283932,0.137390417,-0.130674243,0.113005903,0.447018853,0.295145971,-0.852804466,0.065171024,0.00088911,0.042527528,-0.131423253,0.177302441,0.66193579,0.027595629,-0.011291959,0.061290637,0.029139384,0.078822745,0.1907022
3002,0.196711674,0.234265017,-0.496717814,-0.478898255,-0.597439576,-0.674506782,-0.630537391,-0.797462621,-0.246660129,54035,1,-0.081676055,0.038835989,0.147415871,-0.08260734,0.127855655,0.491516242,0.316209165,-0.891388305,0.063892583,-0.011508746,0.043823378,-0.116703478,0.20594039,0.761528297,0.025533207,-0.005321261,0.062569289,-0.023973414,0.083580095,0.188651565
3003,1.042267285,-0.71611034,-0.245544964,1.033458586,-0.197689198,0.050438217,-0.270255273,-0.897779229,-0.151793025,54037,1,-0.077862973,0.03930707,0.102471637,-0.412680141,0.07928144,0.184422174,0.220889401,-0.502669236,0.058069987,0.031733887,0.041131045,-0.156208912,0.102748579,0.21411773,0.031100047,-0.020382354,0.05410357,0.11273809,0.073789222,0.345287243
3004,0.882045032,0.255864457,-0.204805134,0.371802468,-0.128766719,-0.497690928,-0.601714822,-0.757335978,0.212711854,54039,1,-0.081527104,0.038338704,0.140686543,-0.138779404,0.119086206,0.385514571,0.314567842,-0.877687456,0.061378041,-0.027601206,0.041412418,-0.097384752,0.204096897,0.709526217,0.025439918,-0.004383274,0.061149544,-0.008203729,0.080495103,0.145650083
3005,-0.027928509,0.299063337,-0.464789389,-0.783470118,-0.611224072,-0.656825197,-0.594509179,-0.636956048,-0.287099781,54041,1,-0.080503465,0.03899642,0.135546274,-0.139688472,0.110985461,0.411098312,0.29666418,-0.855751448,0.063748151,-0.010613185,0.040865737,-0.123121805,0.180209731,0.665991389,0.027196253,-0.009998872,0.060406622,0.025125815,0.077282798,0.161384043
3006,0.052898937,-0.024928262,-0.530940527,-1.361106412,-0.611224072,-0.780596294,-0.630537391,-0.697146013,-0.284606971,54043,1,-0.082070103,0.038174959,0.144030568,-0.141810219,0.124770684,0.382217034,0.320814645,-0.843061693,0.060560914,-0.02346509,0.043609304,-0.089451845,0.211200892,0.69863738,0.024676445,-0.001952442,0.061720928,-0.022695358,0.083839964,0.175699401
3007,0.297715824,0.126267817,-0.420265266,-1.256081631,-0.500948106,-0.798277879,-0.616126106,-0.476449474,-0.249881401,54045,1,-0.081935559,0.037831939,0.13888585,-0.177942923,0.117609079,0.317793831,0.318054077,-0.847121055,0.058937962,-0.034685197,0.042536815,-0.076193231,0.208932809,0.674164525,0.024737128,-0.001419405,0.061006171,-0.009840703,0.082400954,0.14697342
3008,-0.127865352,0.428659976,-0.628473575,-1.739195622,-0.052951993,-0.656825197,-0.572892252,-0.717209334,-0.293315097,54047,1,-0.08165365,0.037377721,0.130077023,-0.216944712,0.105205629,0.240675787,0.309339114,-0.881259566,0.056898226,-0.051051882,0.040926544,-0.061943502,0.20240677,0.67619267,0.025019177,-0.001085417,0.05977525,0.007277143,0.080393521,0.101233306
3009,0.821479229,0.061469497,0.660585506,0.067230605,-0.383779891,-0.621462026,-0.587303537,-0.877715908,-0.16455113,54049,1,-0.080240731,0.039509374,0.138338028,-0.12913832,0.114098029,0.468489523,0.293029358,-0.847865832,0.066261443,0.010789808,0.043856686,-0.13698617,0.173945667,0.652171908,0.027988363,-0.012458795,0.061977011,0.034743768,0.080058621,0.216263397
3010,0.481405953,0.558256616,-0.457875808,-0.415883386,-0.562978337,-0.674506782,-0.608920464,-0.576766083,-0.242837376,54051,1,-0.080662289,0.039859993,0.146915701,-0.056465399,0.124233361,0.59027366,0.298685034,-0.909848667,0.068520304,0.020331452,0.047072278,-0.145132863,0.183377638,0.754086787,0.027772846,-0.011985594,0.064449318,0.011076937,0.084790697,0.249060462
3011,0.188615791,0.342262216,-0.538204654,-0.793972597,-0.597439576,-0.692188367,-0.630537391,-0.978032516,-0.262064756,54053,1,-0.082026453,0.03876844,0.14961286,-0.076220576,0.131803849,0.497792286,0.319079086,-0.876111395,0.063513538,-0.008757894,0.044824743,-0.114398374,0.209897733,0.769974869,0.025037052,-0.00386545,0.062727687,-0.036692556,0.085495896,0.205871599
3012,0.683253041,0.536657176,0.014064766,-0.268848693,-0.183904703,-0.656825197,-0.594509179,-0.657019369,-0.168961999,54055,1,-0.081112507,0.037406134,0.1235097,-0.215122691,0.09629926,0.219679611,0.297060716,-0.917871403,0.056730772,-0.058935108,0.037977028,-0.067057462,0.191323206,0.704666427,0.025701286,-0.003109044,0.05820513,0.018591323,0.076322191,0.060238756
3013,0.37048566,0.536657176,-0.04150649,-0.678445338,-0.390672139,-0.692188367,-0.616126106,-0.677082691,-0.250910603,54057,1,-0.07894533,0.039412009,0.119467281,-0.282618976,0.095517619,0.280701014,0.259970139,-0.66305841,0.062676362,0.022786754,0.041524871,-0.141502063,0.134999915,0.407732261,0.029676337,-0.016813588,0.057616375,0.088185041,0.075690513,0.259596248
